text,label
"Study for midterm exam—need at least 3 hours this weekend, make a practice test.",actionable
Restructure the narrative timeline for the time-travel story—currently confusing readers.,actionable
Realization: buying generic brands cuts grocery costs by 25% with zero quality difference for most items,archive
Lesson: meal prepping on Sundays cuts weekday stress by 80 percent. Do this consistently.,archive
"Check on student loan repayment plan, think I'm on the wrong one.",actionable
"Laundry is getting ridiculous, do it tonight.",ephemeral
Check if healthcare FSA deadline passed yet,ephemeral
Learned that async/await in JavaScript is just syntactic sugar over promises. Makes debugging way easier to understand.,archive
Prepare onboarding docs for new hire starting Monday.,actionable
"Check if quarterly estimated taxes are due soon, don't want another penalty.",ephemeral
Book the conference room for next week's all hands and send the calendar invite.,actionable
Key insight: saying no to one thing means yes to what matters. Tested and confirmed.,archive
Progressive overload in mobility work requires the same systematic approach as strength training; random stretching produces no lasting improvement in range of motion.,archive
Send the architecture proposal to the tech lead for feedback by Wednesday morning.,actionable
Clarify the project dependencies with the engineering manager before tomorrow's kickoff.,actionable
API versioning lesson: supporting old versions is debt that compounds. Cut them aggressively or you're stuck maintaining forever.,archive
"Forgot to log my gym membership cancellation fee, add to budget later",ephemeral
Remind myself to turn off the office lights when leaving today.,ephemeral
Tracking perceived exertion subjectively correlates poorly with objective performance data; rely on measurable metrics rather than how difficult a session feels.,archive
Key learning from vendor negotiation: establish walk-away price before entering discussion to avoid anchoring bias. Applied this in last renewal and saved 15% on contract value.,archive
Verify the wire transfer went through yesterday,ephemeral
Clarify assignment rubric with professor before starting final project.,actionable
"Coffee machine is out of order again, remind someone on Monday",ephemeral
Block off Tuesday afternoon to work through that SQL optimization course module.,actionable
Document all charitable donations made in 2024 for tax deduction purposes.,actionable
Check if the laundry is done when I get back,ephemeral
Book conference room for the all-hands and send calendar invite to leadership.,actionable
The new process documentation needs to be shared with the team.,ephemeral
Need to reconcile receipts from yesterday's client dinner,ephemeral
"Update the project status doc before the 2pm standup, everyone's asking where we're at.",actionable
